,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Caoni (Tulicorp),,,65.0,,,,,,,,,
Captain Pembleton,,,,,,,,,72.5,,,
Carlotta Chocolat,,,,,,,,,,,66.0,
Castronovo,,,,,,,,57.5,55.0,75.0,,
Cello,,,,,,,,,55.0,,,
Chaleur B,,,,,,,,,55.0,,,
Charm School,,,,,,,,,,,65.0,
Chchukululu (Tulicorp),,,,,55.0,,,,,,,
Chequessett,,,,,,,,,70.0,,,
Chloe Chocolat,,,,,,70.0,,,,,,
Chocablog,,,,,,,,,,65.0,,
Choco Dong,,,,,,,,,,62.5,,
Chocola'te,,,,,,75.0,,,,,,
Chocolarder,,,,,,,,,,52.5,,
Chocolate Con Amor,,,,,,,,,,,57.5,
Chocolate Makers,,,,,,,,,,70.0,,
"Chocolate Tree, The",,,,,,,55.0,75.0,,75.0,,
Chocolats Privilege,,,,,,,,,50.0,,,
Chocosol,,,,,,65.0,,,,,,
Chocovic,,60.0,,65.0,,,,,,,,
Chocovivo,,,,,,,,,,50.0,,
Choklat,,,,58.333333333333336,,,,,,,,
Chokolat Elot (Girard),,,,,,,,55.0,,,,
Christopher Morel (Felchlin),,,,,,75.0,,,,,,
Chuao Chocolatier,,,,60.0,,,,,,,,
Compania de Chocolate (Salgado),,,75.0,,65.0,,,,,,,
Coppeneur,,,,70.0,60.0,,70.0,65.0,,,,
Cote d' Or (Kraft),20.0,,,,,,,,,,,
Cravve,,,,,,,65.0,,50.0,,,
DAR,,,,,,,,,,,65.0,
Daintree,,,,,,65.0,,,,55.0,,
Damson,,,,,,,,,,57.5,,
Dandelion,,,,,,65.0,66.66666666666667,65.0,67.5,60.0,75.0,
Danta,,,,65.0,,70.0,73.75,,,,,
Dark Forest,,,,,,,,,,62.5,,
Davis,,,,,,,65.0,53.333333333333336,,,,
De Mendes,,,,,,,,,,70.0,,
De Villiers,,,,,,,,,,,55.0,
Dean and Deluca (Belcolade),,58.0,,,,,,,,,,
Debauve & Gallais (Michel Cluizel),,,75.0,60.0,,,,,,,,
Dick Taylor,,,,,,65.0,,65.0,,75.0,,75.0
Dole (Guittard),,,,75.0,,,,,,,,
Dolfin (Belcolade),30.0,,,,,,,,,,,
Domori,65.0,74.28571428571429,65.0,,60.0,70.0,72.5,,,75.0,,
Dormouse,,,,,,,,,,50.0,,
Duffy's,,,,,65.0,70.0,,,70.0,80.0,,
Dulcinea,,,,,,,,,,65.0,,
Durci,,,,,,,,,,70.0,,
East Van Roasters,,,,,,,,,70.0,,,
Eau de Rose,,,,,,,,,,,65.0,
Edelmond,,,,,,,,,,,60.0,
El Rey,55.0,,55.0,57.5,,,,,,75.0,,
Emerald Estate,,,,,,,,60.0,,,,
Erithaj (A. Morin),,,,,,,,,65.0,,,
Escazu,,,,40.0,,,55.0,,,,,
Ethel's Artisan (Mars),,,,,,51.0,,,,,,
Felchlin,60.0,,,,70.0,,,,,,,
Finca,,,,,,,,,55.0,,,
Forteza (Cortes),,,,,,,,,,,55.0,
Fossa,,,,,,,,,,,65.0,
Franceschi,,,,,,,72.5,,72.5,,,
Frederic Blondeel,,,,,,,,,70.0,70.0,,
French Broad,,,,,,70.0,60.0,70.0,65.0,,,70.0
Fresco,,,,65.0,,71.66666666666667,70.0,77.5,67.5,,,
Friis Holm,,,,,,,,,,,70.0,
Friis Holm (Bonnat),,,,,,68.33333333333333,67.5,67.5,70.0,60.0,,
Fruition,,,,,,62.5,50.0,75.0,75.0,,,
Georgia Ramon,,,,,,,,,,71.66666666666667,,
Glennmade,,,,,,,,,,60.0,70.0,
Green & Black's (ICAM),50.0,,,,,,,,,,,
Green Bean to Bar,,,,,,,,,,,70.0,
Grenada Chocolate Co.,,,,55.0,,,,,,,,
Guido Castagna,,,,61.25,,,,,,,,
Guittard,63.333333333333336,,63.333333333333336,65.0,60.0,65.0,,61.25,,75.0,,
Habitual,,,,,,,,,62.5,,,
Hacienda El Castillo,,,,,,,,,57.5,,,
Haigh,,,,,,60.0,,,,,,
Harper Macaw,,,,,,,,,,60.0,,
Heilemann,,,,,,,,,,,55.0,
Heirloom Cacao Preservation (Brasstown),,,,,,,,,,,65.0,
Heirloom Cacao Preservation (Guittard),,,,,,,,,70.0,,,
Heirloom Cacao Preservation (Millcreek),,,,,,,,,,,70.0,
Heirloom Cacao Preservation (Zokoko),,,,,,,,,,,75.0,
Hogarth,,,,,,,,,,,62.5,
Hoja Verde (Tulicorp),,,,67.5,,,,,,,,
Holy Cacao,,,,58.333333333333336,,,,,,70.0,55.0,
Hotel Chocolat,,,,,,,,80.0,,55.0,,
Hotel Chocolat (Coppeneur),,,,,56.666666666666664,62.5,70.0,,,,,
Hummingbird,,,,,,,,70.0,65.0,70.0,,
Idilio (Felchlin),,,,,,80.0,,,,,,
Indah,,,,,,,,,,,50.0,
Indaphoria,,,,,,,60.0,,,,,
Izard,,,,,,,,,,62.5,,
Jordis,,,,,,,,,,55.0,,
Just Good Chocolate,,,,,,,,,73.33333333333333,,,
K'ul,,,,,,,,,,,67.5,
Kah Kow,,,,,,,,66.66666666666667,,,,
Kakao,,,,75.0,,,50.0,,,,,
Kallari (Ecuatoriana),,,65.0,,,,,,,,,
Kaoka (Cemoi),,,,55.0,,,,,,,,
Kerchner,,,,,,,,75.0,,,,
Kiskadee,,,,,,,,,60.0,,,
L.A. Burdick (Felchlin),,,,65.0,,,77.5,,,,,
La Chocolaterie Nanairo,,,,,,,,,,,53.75,
La Maison du Chocolat (Valrhona),,,,67.5,,70.0,70.0,65.0,,,,
La Pepa de Oro,,,,,,65.0,,,,,,
Laia aka Chat-Noir,,,,,,,,,55.0,,,
Lajedo do Ouro,,,,,,,70.0,,,,,
Letterpress,,,,,,,,,70.0,66.0,65.0,67.5
Lilla,,,,,,,,,,,60.0,
Lillie Belle,,,,,,,71.25,,,,,
Loiza,,,,,,,,50.0,,,,
Lonohana,,,,,,,,70.0,70.0,,,
Luker,,,,,61.25,,,,,,,
Machu Picchu Trading Co.,,,,,45.0,30.0,,,,,,
Madecasse (Cinagra),,,75.0,,,,,,,,,
Madre,,,,,,52.5,66.66666666666667,58.75,,,,
Maglio,,,66.66666666666667,,,,,,,,,
Majani,,,,,40.0,,,,,,,
Malagos,,,,,,,,70.0,,,,
Malie Kai (Guittard),,,,55.0,70.0,,,,,,,
Malmo,,,,,,,,,,,60.0,
Manifesto Cacao,,,,,,,,,55.0,,,
Manufaktura Czekolady,,,,,,,66.66666666666667,,75.0,,72.5,
Map Chocolate,,,,,,,,,,67.5,,
Marana,,,,,,,,,,,58.333333333333336,
Marou,,,,,,,70.0,,,72.5,,
Mars,,,,,63.75,,,,,,,
Mast Brothers,,,,,65.0,65.0,,,,,,
Matale,,,,,,,,77.5,,,,
Maverick,,,,,,,,,66.66666666666667,,,
Meadowlands,,,,,,,,,59.0,,,
Mesocacao,,,,,,,,,67.5,60.0,,
Metiisto,,,,,,,,,60.0,,,
Metropolitan,,,,,,,,,,70.0,,
Michel Cluizel,68.0,70.0,,,,,75.0,,,,,
Middlebury,,,,,,,40.0,,,70.0,,
Millcreek Cacao Roasters,,,,,,,70.0,50.0,,,,
Mindo,,,,,55.0,,,,,,,
Minimal,,,,,,,,,,,70.0,
Mission,,,,,,,,,,70.0,,
Mita,,,,,,,50.0,,,,,
Moho,,,,,55.0,,,,,,,
Molucca,,,,,,,,,,60.0,,
Momotombo,,,,,,58.333333333333336,,,,,,
Monsieur Truffe,,,,,,,,,65.0,,,
Montecristi,,,,,,,,,,67.5,,
Muchomas (Mesocacao),,,,,,,,,,70.0,,
Mutari,,,,,,,,,,,55.0,
Nahua,,,,,,,,55.0,,,,
Naive,,,,,,,,75.0,,,,
Nathan Miller,,,,,,,,,60.0,,,
Na�ve,,,,,,,,,62.5,,,
Neuhaus (Callebaut),,,75.0,,50.0,,,,,,,
Noir d' Ebine,,,,,,,60.0,,,,,
Nova Monda,,,,,,,60.0,,,,,
Nuance,,,,,,,,,,67.0,,
Nugali,,,,,,,,,,,70.0,
Oakland Chocolate Co.,,,,,50.0,,,,,,,
Obolo,,,,,,,,,,75.0,,
Ocelot,,,,,,,,,,75.0,,
Ocho,,,,,,,,,57.5,,70.0,
Ohiyo,,,,,,,,,,57.5,,
Oialla by Bojessen (Malmo),,,,,,70.0,,,,,,
Olive and Sinclair,,,,55.0,,,,,,,,
Omnom,,,,,,,,,65.0,,75.0,
Original Beans (Felchlin),,,,62.5,,75.0,,,55.0,,,
Original Hawaiin Chocolate Factory,60.0,,,60.0,,,,,,,,
Orquidea,,,,,,,60.0,,,,,
Pacari,,,58.333333333333336,,,70.0,80.0,,72.5,,80.0,
Palette de Bine,,,,,,,,,75.0,65.0,55.0,
Park 75,,,,,,,,,70.0,,,
Parliament,,,,,,,,,65.0,70.0,65.0,
Pascha,,,,,,,,52.5,,,,
Patric,,80.0,,70.0,,75.0,,80.0,,,,
Paul Young,,,,,,,,,55.0,,,
Pierre Marcolini,,80.0,,,,,,,,65.0,,
Pitch Dark,,,,,,,,,,50.0,,
Potomac,,,,,,63.75,,,75.0,,75.0,
Pump Street Bakery,,,,,,,,,,70.0,,
Q Chocolate,,,,,,,62.5,55.0,,,,
Quetzalli (Wolter),,,,,,,,,,,55.0,
Raaka,,,,,,,,,,,60.0,
Rain Republic,,,,,55.0,,,,,,,
Ranger,,,,,,,,,,50.0,,
Raw Cocoa,,,,,,,50.0,,,,,
Republica del Cacao (aka Confecta),,70.0,,,,,,,,,,
Ritual,,,,,,,,,,70.0,,
Roasting Masters,,,,,,,,,,,65.0,
Robert (aka Chocolaterie Robert),,,,,,,,65.0,,,,
Rococo (Grenada Chocolate Co.),,,,,,,70.0,,,,,
Rogue,,,56.25,70.0,,,,70.0,,75.0,,
Rozsavolgyi,,,,,,70.0,,,,,,
S.A.I.D.,,,,,65.0,,,,,,,
SRSLY,,,,,,,,60.0,,,,
Sacred,,,,,,,65.0,,,,,
Salgado,,,70.0,,,,,,,,,
Santander (Compania Nacional),60.0,,,60.0,,,,,,,,
Santome,,,,,,55.0,,,,,,
Scharffen Berger,52.5,60.0,,77.5,72.5,75.0,,,,,,
Seaforth,,,,,,,,,,55.0,,
Shattel,,,,,,,,,,,65.0,
Sibu,,,,,,,,,,70.0,,
Sibu Sura,,,,,,,50.0,,,,,
Silvio Bessone,,,,,,62.5,,,,,,
Sirene,,,,,,,,,75.0,,,
Sjolinds,,,,,,,,,,55.0,,
"Smooth Chocolator, The",,,,,,,,,,70.0,71.66666666666667,70.0
Snake & Butterfly,,,,,62.5,30.0,,,,,,
Sol Cacao,,,,,,,,,,,70.0,
Solkiki,,,,,,,,,,,55.0,
Solomons Gold,,,,,,,,,,,65.0,
Solstice,,,,,,,,64.0,60.0,,,
Soma,,,,68.33333333333333,75.0,71.66666666666667,73.57142857142857,71.11111111111111,70.0,70.0,71.66666666666667,
Somerville,,,,,,,,,67.5,,,
Soul,,,,,,,,,,,,67.5
Spagnvola,,,,,,,60.0,,,,,
Spencer,,,,,,,,,,,73.33333333333333,66.66666666666667
Sprungli (Felchlin),,,,,,,,60.0,,,,
StRita Supreme,,,,,,,50.0,,,,,
Starchild,,,,,,,,,,60.0,,
Stella (aka Bernrain),,,,,,,55.0,,,,,
Stone Grindz,,,,,,,,,70.0,,,
Sublime Origins,,,,,,,,55.0,,,,
Summerbird,,,,,,,,,,,50.0,
Suruca Chocolate,,,,,,,,,,,57.5,
Svenska Kakaobolaget,,,,,,,,,,55.0,,
Szanto Tibor,,,,,,60.0,68.33333333333333,68.33333333333333,72.5,68.0,,
TCHO,,,51.25,57.5,,,,,,,40.0,
Tabal,,,,,,,,55.0,,,,
Tablette (aka Vanillabeans),,,,,,,,,,63.333333333333336,,
Tan Ban Skrati,,,,,,,,,,,65.0,
Taza,,60.0,,,,,,,60.0,,,
Tejas,,,,,,,60.38461538461539,,,,,
Terroir,,,,,,,,,75.0,69.16666666666667,,
The Barn,,,,,,,,,,60.0,,
Theo,,70.0,,,,,65.0,,,,,
Theobroma,,,,,,,,,,65.0,,
Tobago Estate (Pralus),,,,,,,80.0,,,,,
Two Ravens,,,,,,,,,,,60.0,
Un Dimanche A Paris,,,,,,75.0,,,,,,
Undone,,,,,,,,,60.0,,,
Urzi,,,,,,,,,65.0,,,
Valrhona,64.0,73.33333333333333,,73.33333333333333,,72.5,80.0,70.0,,80.0,,
Vanleer (Barry Callebaut),,,,,,,55.0,,,,,
Vao Vao (Chocolaterie Robert),,,,61.666666666666664,,,,,,,,
Vicuna,,,,,,,,,,65.0,,
Videri,,,,,,,65.0,,,,,
Vietcacao (A. Morin),,,,,,,70.0,,,,,
Vintage Plantations (Tulicorp),,60.0,,,,,,,,,,
Vivra,,,,,,,,,,,53.333333333333336,
Wellington Chocolate Factory,,,,,,,,,,,70.0,
Willie's Cacao,,,,60.0,75.0,,,,,,80.0,
Woodblock,,,,,,75.0,58.333333333333336,67.5,60.0,,,
Xocolat,,,,,,,,60.0,,,,
Xocolla,,,,,,,,,,,,52.5
Zak's,,,,,,,,,,64.16666666666667,,
Zart Pralinen,,,,,,,,,,,65.0,
Zokoko,,,,,,70.0,,,,,65.0,
Zotter,,,,,60.0,67.5,69.28571428571429,,,,,
hello cocoa,,,,,,,,,,55.0,,
hexx,,,,,,,,,,60.0,,
twenty-four blackbirds,,,,,,,,65.0,,,,
