Company,Specific Bean Origin,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin
Ambrosia,Papua New Guinea,2015,63.0,Canada,3.25,Blend,Papua New Guinea
Ambrosia,Venezuela,2015,70.0,Canada,3.25,Blend,Venezuela
Ambrosia,Peru,2015,68.0,Canada,3.5,Blend,Peru
Amedei,"Piura, Blanco de Criollo",2012,70.0,Italy,3.75,Blend,Peru
Amedei,Porcelana,2007,70.0,Italy,4.0,Criollo (Porcelana),Venezuela
Amedei,Nine,2007,75.0,Italy,4.0,Blend,Other
Amedei,Chuao,2007,70.0,Italy,5.0,Trinitario,Venezuela
Amedei,Ecuador,2007,70.0,Italy,3.0,Trinitario,Ecuador
Amedei,Jamaica,2007,70.0,Italy,3.0,Trinitario,Jamaica
Amedei,Grenada,2007,70.0,Italy,3.5,Trinitario,Grenada
Amedei,Venezuela,2007,70.0,Italy,3.75,Trinitario (85% Criollo),Venezuela
Amedei,Madagascar,2007,70.0,Italy,4.0,Trinitario (85% Criollo),Madagascar
Amedei,Trinidad,2007,70.0,Italy,3.5,Trinitario,Trinidad
Amedei,Toscano Black,2007,63.0,Italy,3.5,Blend,Other
Amedei,Toscano Black,2006,70.0,Italy,5.0,Blend,Other
Amedei,Toscano Black,2006,66.0,Italy,4.0,Blend,Other
AMMA,Catongo,2013,75.0,Brazil,3.25,Forastero (Catongo),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",2010,85.0,Brazil,2.75,Forastero (Parazinho),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",2010,50.0,Brazil,3.75,Forastero (Parazinho),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",2010,75.0,Brazil,3.75,Forastero (Parazinho),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",2010,60.0,Brazil,4.0,Forastero (Parazinho),Brazil
Anahata,Elvesia,2014,75.0,U.S.A.,3.0,Blend,Dominican Republic
Animas,Alto Beni,2016,75.0,U.S.A.,3.5,Blend,Bolivia
Ara,Madagascar,2014,75.0,France,3.0,Trinitario,Madagascar
Ara,Chiapas,2014,72.0,France,2.5,Blend,Mexico
Ara,Equateur,2014,75.0,France,2.75,Blend,Ecuador
Ara,Trincheras,2014,75.0,France,3.0,Blend,Venezuela
Arete,San Juan,2016,70.0,U.S.A.,3.5,Trinitario,Trinidad
Arete,Kokoa Kamili,2016,70.0,U.S.A.,3.75,Blend,Tanzania
Arete,Tien Giang,2016,73.0,U.S.A.,3.5,Trinitario,Vietnam
Arete,Hacienda Victoria,2016,70.0,U.S.A.,3.25,Blend,Ecuador
Arete,Costa Esmeraldas,2016,70.0,U.S.A.,3.25,Blend,Ecuador
Arete,Lachua,2016,70.0,U.S.A.,3.5,Blend,Guatemala
Arete,Rugoso,2016,70.0,U.S.A.,3.75,Blend,Nicaragua
Arete,"La Masica, FHIA",2016,70.0,U.S.A.,3.5,Blend,Honduras
Arete,"Coto Brus, Terciopelo",2016,70.0,U.S.A.,4.0,Blend,Costa Rica
Arete,Phantom,2016,70.0,U.S.A.,4.0,Forastero (Nacional),Peru
Arete,Elvesia,2016,70.0,U.S.A.,3.75,Blend,Dominican Republic
Arete,Matasawalevu,2016,70.0,U.S.A.,3.25,Blend,Fiji
Arete,Lam Dong,2016,73.0,U.S.A.,3.25,Blend,Vietnam
Arete,Fazenda Camboa,2015,70.0,U.S.A.,3.5,Blend,Brazil
Arete,Nacional,2015,68.0,U.S.A.,3.5,Forastero (Nacional),Peru
Arete,"Puerto Quito, heirloom",2015,70.0,U.S.A.,3.75,Forastero (Nacional),Ecuador
Arete,Oko Caribe,2015,70.0,U.S.A.,3.5,Blend,Domincan Republic
Arete,Maya Mountain,2015,70.0,U.S.A.,3.75,Trinitario,Belize
Arete,Chuno,2015,70.0,U.S.A.,4.0,"Criollo, Trinitario",Nicaragua
Arete,Fazenda Camboa,2015,75.0,U.S.A.,2.75,Blend,Brazil
Arete,Guatemala,2015,70.0,U.S.A.,3.25,Blend,Guatemala
Arete,Camino Verde,2015,75.0,U.S.A.,3.5,Blend,Ecuador
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",2013,72.0,U.K.,3.25,Trinitario,Trinidad
Artisan du Chocolat,"Colombia, Casa Luker",2012,72.0,U.K.,3.75,Blend,Colombia
Artisan du Chocolat,Haiti,2011,72.0,U.K.,4.0,Blend,Haiti
Artisan du Chocolat,Panama,2011,72.0,U.K.,2.75,Blend,Panama
Artisan du Chocolat,Venezuela,2010,100.0,U.K.,1.75,Blend,Venezuela
Artisan du Chocolat,Jamaica,2010,72.0,U.K.,3.75,Trinitario,Jamaica
Artisan du Chocolat,Costa Rica,2010,72.0,U.K.,3.25,Blend,Costa Rica
Artisan du Chocolat,Ba Ria Vung Tau Province,2010,72.0,U.K.,3.25,Trinitario,Vietnam
Artisan du Chocolat,Bali,2010,72.0,U.K.,3.5,Blend,Indonesia
Artisan du Chocolat,"Ocumare, Venezuela",2009,75.0,U.K.,2.5,"Criollo, Trinitario",Venezuela
Artisan du Chocolat,Java,2009,72.0,U.K.,2.75,Trinitario,Indonesia
Artisan du Chocolat,Brazil Rio Doce,2009,72.0,U.K.,1.75,Blend,Brazil
Artisan du Chocolat,Madagascar,2009,80.0,U.K.,3.0,"Criollo, Trinitario",Madagascar
Artisan du Chocolat,Peru,2009,75.0,U.K.,3.0,Criollo,Peru
Artisan du Chocolat,Dominican Republic,2009,72.0,U.K.,3.25,Trinitario,Dominican Republic
Artisan du Chocolat,Congo,2008,72.0,U.K.,3.75,Forastero,Congo
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",2013,72.0,U.K.,2.75,Trinitario,Colombia
Askinosie,Mababa,2016,68.0,U.S.A.,3.75,Trinitario,Tanzania
Askinosie,"Tenende, Uwate",2011,72.0,U.S.A.,3.75,Trinitario,Tanzania
Askinosie,Cortes,2011,70.0,U.S.A.,3.75,Trinitario,Honduras
Askinosie,Davao,2009,77.0,U.S.A.,3.75,Trinitario,Philippines
Askinosie,Xoconusco,2007,75.0,U.S.A.,2.5,Trinitario,Mexico
Askinosie,San Jose del Tambo,2007,70.0,U.S.A.,3.0,Forastero (Arriba),Ecuador
Bahen & Co.,Houseblend,2015,80.0,Australia,3.25,Blend,Other
Bahen & Co.,Papua New Guinea,2015,70.0,Australia,3.5,Blend,Papua New Guinea
Bahen & Co.,Sambirano,2012,70.0,Australia,3.0,Trinitario,Madagascar
Bahen & Co.,Bahia,2012,70.0,Australia,2.5,Blend,Brazil
Bahen & Co.,Houseblend,2012,70.0,Australia,2.5,Blend,Other
Bakau,"Bambamarca, 2015",2015,70.0,Peru,2.75,Blend,Peru
Bakau,"Huallabamba, 2015",2015,70.0,Peru,3.5,Blend,Peru
Bar Au Chocolat,Bahia,2015,70.0,U.S.A.,3.5,Blend,Brazil
Bar Au Chocolat,Maranon Canyon,2014,70.0,U.S.A.,4.0,Forastero (Nacional),Peru
Bar Au Chocolat,Duarte Province,2012,70.0,U.S.A.,3.25,Blend,Dominican Republic
Bar Au Chocolat,Chiapas,2012,70.0,U.S.A.,3.5,Blend,Mexico
Bar Au Chocolat,Sambirano,2012,70.0,U.S.A.,3.75,Trinitario,Madagascar
Baravelli's,single estate,2012,80.0,Wales,2.75,Blend,Costa Rica
Batch,"Dominican Republic, Batch 3",2016,65.0,U.S.A.,3.5,Blend,Domincan Republic
Batch,Brazil,2016,70.0,U.S.A.,3.75,Blend,Brazil
Batch,Ecuador,2016,65.0,U.S.A.,3.25,Blend,Ecuador
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",2017,73.0,U.K.,3.0,Blend,Malaysia
Beau Cacao,"Serian E., NW Borneo, b. #134/3800",2017,72.0,U.K.,3.25,Blend,Malaysia
Beehive,"Brazil, Batch 20316",2016,80.0,U.S.A.,2.75,Blend,Brazil
Beehive,"Dominican Republic, Batch 31616",2016,70.0,U.S.A.,2.75,Blend,Domincan Republic
Beehive,"Ecuador, Batch 31516",2016,70.0,U.S.A.,2.75,Blend,Ecuador
Beehive,Ecuador,2016,90.0,U.S.A.,2.75,Blend,Ecuador
Belcolade,Costa Rica,2010,64.0,Belgium,2.75,Blend,Costa Rica
Belcolade,Papua New Guinea,2010,64.0,Belgium,2.75,Blend,Papua New Guinea
Belcolade,Peru,2010,64.0,Belgium,2.75,Blend,Peru
Belcolade,Ecuador,2010,71.0,Belgium,3.5,Blend,Ecuador
Bellflower,"Kakao Kamili, Kilombero Valley",2016,70.0,U.S.A.,3.5,"Criollo, Trinitario",Tanzania
Bellflower,"Alto Beni, Palos Blanco",2016,70.0,U.S.A.,3.25,Blend,Bolivia
Bellflower,"Oko Caribe, Duarte P.",2016,70.0,U.S.A.,3.5,Blend,Domincan Republic
Belyzium,"Belize south, low fermentation",2016,83.0,Germany,2.75,Trinitario,Belize
Belyzium,Belize south,2016,78.0,Germany,3.0,Trinitario,Belize
Belyzium,Belize south,2016,83.0,Germany,3.5,Trinitario,Belize
Benoit Nihant,Baracoa,2013,74.0,Belgium,3.5,Trinitario,Cuba
Benoit Nihant,Chuao,2013,74.0,Belgium,3.5,Criollo,Venezuela
Benoit Nihant,Cuyagua Village,2013,74.0,Belgium,3.5,Criollo,Venezuela
Benoit Nihant,Rio Peripa H.,2013,73.0,Belgium,4.0,Trinitario,Ecuador
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",2011,72.0,Belgium,4.0,Trinitario,Indonesia
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",2011,72.0,Belgium,3.75,Trinitario,Madagascar
Bernachon,Nature,2012,55.0,France,2.75,Blend,Other
Beschle (Felchlin),Madagascar,2011,64.0,Switzerland,3.0,Trinitario,Madagascar
Beschle (Felchlin),Maracaibo,2011,88.0,Switzerland,3.0,Criollo,Venezuela
Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",2011,72.0,Switzerland,3.5,Blend,Venezuela
Beschle (Felchlin),Ecuador,2011,72.0,Switzerland,4.0,Blend,Ecuador
Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",2010,70.0,Switzerland,3.25,Trinitario,Venezuela
Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",2010,74.0,Switzerland,3.25,Criollo (Porcelana),Venezuela
Beschle (Felchlin),"Java, Grand Cru",2010,64.0,Switzerland,3.5,Blend,Indonesia
Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",2010,72.0,Switzerland,3.5,Blend,Venezuela
Bisou,"Nicaragua, American style",2015,76.0,U.S.A.,2.5,Blend,Nicaragua
Bisou,"San Andres, American style",2015,76.0,U.S.A.,2.5,Blend,Costa Rica
Bisou,"San Andres, silk",2015,78.0,U.S.A.,2.5,Blend,Costa Rica
Bisou,Belize,2015,86.0,U.S.A.,3.25,Trinitario,Belize
Bittersweet Origins,Ghana,2012,72.0,U.S.A.,3.5,Forastero,Ghana
Bittersweet Origins,"Bali, Singaraja",2010,75.0,U.S.A.,3.25,Blend,Indonesia
Bittersweet Origins,2009 Hapa Nibby,2010,70.0,U.S.A.,3.75,Blend,"Dominican Rep., Bali"
Bittersweet Origins,"Bali, Singaraja",2010,65.0,U.S.A.,2.75,Blend,Indonesia
Bittersweet Origins,"Sambirano, 2009",2010,70.0,U.S.A.,3.0,Trinitario,Madagascar
Bittersweet Origins,"Ocumare, prototype",2010,78.0,U.S.A.,3.0,Criollo,Venezuela
Bittersweet Origins,Puerto Plata,2009,75.0,U.S.A.,3.0,Blend,Dominican Republic
Bittersweet Origins,Puerto Plata,2009,65.0,U.S.A.,3.5,Blend,Dominican Republic
Bittersweet Origins,Sambirano,2009,75.0,U.S.A.,3.25,Trinitario,Madagascar
Bittersweet Origins,Sambirano,2009,65.0,U.S.A.,3.5,Trinitario,Madagascar
Bittersweet Origins,Sambirano,2008,71.0,U.S.A.,3.0,Trinitario,Madagascar
Bittersweet Origins,Bocas del Toro,2008,75.0,U.S.A.,3.5,Blend,Panama
Bittersweet Origins,Puerto Plata,2008,68.0,U.S.A.,3.75,Blend,Dominican Republic
Bittersweet Origins,Ankasa,2008,70.0,U.S.A.,3.0,Forastero,Ghana
Black Mountain,La Red,2008,70.0,U.S.A.,2.75,Blend,Dominican Republic
Black Mountain,Carenero Superior,2008,70.0,U.S.A.,2.75,Trinitario,Venezuela
Black Mountain,Matiguas,2008,70.0,U.S.A.,3.0,Blend,Nicaragua
Black River (A. Morin),Blue Mountain Region,2014,70.0,U.K.,2.75,Trinitario,Jamaica
Blanxart,"Congo, Grand Cru",2013,82.0,Spain,3.5,Forastero,Congo
Blanxart,Organic Dark,2009,72.0,Spain,2.75,Blend,Other
Blue Bandana,"Akesson's E., Sambirano V.",2016,82.0,U.S.A.,3.5,Trinitario,Madagascar
Blue Bandana,Lachua,2016,75.0,U.S.A.,2.75,Blend,Guatemala
Blue Bandana,Kokoa Kamili,2016,75.0,U.S.A.,3.5,Blend,Tanzania
Blue Bandana,Zorzal Reserva,2016,75.0,U.S.A.,3.0,Blend,Dominican Republic
Blue Bandana,Guatemala,2012,70.0,U.S.A.,3.5,Blend,Guatemala
Blue Bandana,Madagascar,2012,70.0,U.S.A.,3.75,Trinitario,Madagascar
Bonnat,Selva Maya,2016,75.0,France,3.5,Blend,Mexico
Bonnat,Kaori,2014,75.0,France,4.0,Blend,Brazil
Bonnat,"Los Colorados, Santo Domingo, Equateur",2014,75.0,France,3.25,Blend,Dominican Republic
Bonnat,Surfin,2014,65.0,France,3.75,Blend,"Venez,Africa,Brasil,Peru,Mex"
Bonnat,Maragnam,2013,75.0,France,3.5,Blend,Brazil
Bonnat,Gabon,2013,75.0,France,3.25,Blend,Gabon
Bonnat,Cuba,2011,75.0,France,3.5,Trinitario,Cuba
Bonnat,"Cusco, Cacao Cusco",2011,75.0,France,3.5,Blend,Peru
Bonnat,Piura Blanco,2011,75.0,France,3.5,Forastero (Nacional),Peru
Bonnat,Libanio,2011,75.0,France,3.75,Blend,Brazil
Bonnat,Haiti,2011,75.0,France,4.0,Blend,Haiti
Bonnat,"Madagascar, 100% criollo",2011,75.0,France,4.0,Criollo,Madagascar
Bonnat,Juliana,2011,75.0,France,3.5,Blend,Brazil
Bonnat,Jamaique,2011,75.0,France,3.25,Trinitario,Jamaica
Bonnat,Ivory Coast,2009,75.0,France,3.0,Blend,Ivory Coast
Bonnat,"Porcelana, Apotequil",2009,75.0,France,2.75,Criollo,Peru
Bonnat,"Porcelana, Tabasco, Marfil de Blanco",2009,75.0,France,3.0,Criollo,Mexico
Bonnat,"Xoconusco, cacao Real",2009,75.0,France,3.0,Criollo,Mexico
Bonnat,"Porcelana, Venezuela",2008,75.0,France,4.0,Criollo (Porcelana),Venezuela
Bonnat,Equateur,2007,75.0,France,2.5,Forastero (Arriba),Ecuador
Bonnat,Trinite,2006,75.0,France,3.75,Trinitario,Carribean
Bonnat,"Ocumare, Puerto Cabello",2006,75.0,France,4.0,Blend,Venezuela
Bonnat,"Maracaibo, El Rosario",2006,75.0,France,4.0,Criollo,Venezuela
Bonnat,Madagascar,2006,75.0,France,4.0,Trinitario,Madagascar
Bonnat,One Hundred,2006,100.0,France,1.5,Blend,Other
Bonnat,Ceylan,2006,75.0,France,3.0,Blend,Sri Lanka
Bonnat,Chuao,2006,75.0,France,4.0,Trinitario,Venezuela
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",2009,77.0,Ecuador,3.25,Forastero (Arriba),Ecuador
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",2009,100.0,Ecuador,1.5,Forastero (Arriba),Ecuador
Bowler Man,Maya Mountain,2014,70.0,U.S.A.,2.75,Trinitario,Belize
Bowler Man,Conacado,2014,70.0,U.S.A.,2.75,Blend,Dominican Republic
Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",2016,70.0,U.S.A.,3.5,Criollo,Venezuela
Brasstown aka It's Chocolate,"O'payo, Waslala",2016,70.0,U.S.A.,3.75,Blend,Nicaragua
Brasstown aka It's Chocolate,Conacado,2015,68.0,U.S.A.,3.75,Blend,Dominican Republic
Brasstown aka It's Chocolate,Maya Mountain,2014,70.0,U.S.A.,3.75,Trinitario,Belize
Brasstown aka It's Chocolate,Chuao,2014,70.0,U.S.A.,4.0,Trinitario,Venezuela
Brasstown aka It's Chocolate,Cooproagro,2013,72.0,U.S.A.,3.0,Trinitario,Dominican Republic
Brasstown aka It's Chocolate,"Camino Verde, Guayas",2013,70.0,U.S.A.,3.25,Blend,Ecuador
Brasstown aka It's Chocolate,Ghana,2013,75.0,U.S.A.,3.5,Forastero,Ghana
Brasstown aka It's Chocolate,"Chuao, Mantuano blend",2013,85.0,U.S.A.,3.5,Trinitario,Venezuela
Brazen,Elvesia P.,2015,60.0,U.S.A.,3.0,Blend,Dominican Republic
Brazen,Elvesia P.,2015,80.0,U.S.A.,3.25,Blend,Dominican Republic
Brazen,"Alta Verapaz, 2014",2015,70.0,U.S.A.,3.5,Blend,Guatemala
Brazen,Ambolikapiky P.,2015,80.0,U.S.A.,2.75,Blend,Madagascar
Brazen,Maya Mountain,2015,80.0,U.S.A.,3.25,Trinitario,Belize
Brazen,Ambolikapkly P.,2015,60.0,U.S.A.,3.25,Blend,Madagascar
Breeze Mill,Jamaica,2013,70.0,U.S.A.,3.0,Trinitario,Jamaica
Bright,Somia Plantation,2014,72.0,Australia,3.0,Trinitario,Madagascar
Bright,Marabel Farms,2014,70.0,Australia,3.5,Blend,Dominican Republic
Bright,"Camino Verde, Balao, Guayas",2014,72.0,Australia,3.5,Blend,Ecuador
Bright,Gran Couva,2014,68.0,Australia,2.75,Trinitario,Trinidad
Britarev,Ecuador,2015,70.0,Russia,3.25,Blend,Ecuador
Bronx Grrl Chocolate,Dominican Republic,2013,68.0,U.S.A.,2.75,Blend,Dominican Republic
Burnt Fork Bend,Trinidad,2014,72.0,U.S.A.,3.25,Trinitario,Trinidad
Burnt Fork Bend,Mindo,2014,72.0,U.S.A.,3.5,Blend,Ecuador
Burnt Fork Bend,Belize,2014,72.0,U.S.A.,3.25,Trinitario,Belize
Burnt Fork Bend,Blend,2014,72.0,U.S.A.,3.25,Blend,Other
Burnt Fork Bend,"Ecuador, Bob Bar",2014,60.0,U.S.A.,2.5,Blend,Ecuador
Cacao Arabuco,Puerto Rico,2015,70.0,Puerto Rico,2.5,Blend,Puerto Rico
Cacao Atlanta,Tumbes,2014,75.0,U.S.A.,2.5,Criollo,Peru
Cacao Atlanta,"Dominican Republic, ""Love Bar""",2010,75.0,U.S.A.,2.5,Blend,Dominican Republic
Cacao Atlanta,Dominican Republic w/ nibs,2010,75.0,U.S.A.,2.75,Blend,Dominican Republic
Cacao Atlanta,Patanemo,2010,75.0,U.S.A.,2.25,Blend,Venezuela
Cacao Barry,Grand 'Anse,2016,65.0,France,3.5,"Trinitario, Criollo",Haiti
Cacao Barry,Santo Domingo,2010,70.0,France,3.0,Blend,Dominican Republic
Cacao Barry,Tanzania,2008,75.0,France,2.0,Blend,Tanzania
Cacao Barry,Venezuela,2007,72.0,France,2.0,Blend,Venezuela
Cacao Barry,Mexico,2007,66.0,France,3.0,Blend,Mexico
Cacao de Origen,Chuao,2015,77.0,Venezuela,3.5,Trinitario,Venezuela
Cacao de Origen,Rio Caribe,2015,75.0,Venezuela,3.25,Trinitario,Venezuela
Cacao de Origen,Agua Fria; Sucre region,2014,75.0,Venezuela,2.5,Blend,Venezuela
Cacao de Origen,Macuare; Miranda; Chloe formula,2014,74.0,Venezuela,3.25,Blend,Venezuela
Cacao de Origen,"Chuao, Aragua region",2014,75.0,Venezuela,3.5,Trinitario,Venezuela
Cacao de Origen,"Chuao, Aragua region",2014,70.0,Venezuela,3.75,Trinitario,Venezuela
Cacao de Origin,Hacienda la Trinidad,2015,74.0,Venezuela,3.25,Blend,Venezuela
Cacao Hunters,Macondo,2016,71.0,Colombia,3.75,Blend,Colombia
Cacao Hunters,Perla Negra,2016,74.0,Colombia,3.75,Blend,Colombia
Cacao Hunters,Arhuacos,2015,72.0,Colombia,3.75,Blend,Colombia
Cacao Hunters,Sierra Nevada,2014,64.0,Colombia,3.5,Blend,Colombia
Cacao Hunters,Tumaco,2014,70.0,Colombia,3.5,Blend,Colombia
Cacao Hunters,"Boyaca, Aprocampa Coop, Pauna",2014,69.0,Colombia,2.75,Blend,Colombia
Cacao Hunters,Arauca,2014,70.0,Colombia,3.25,Blend,Colombia
Cacao Market,"Jutiapa, lot 050916D",2016,70.0,U.S.A.,3.5,Trinitario,Honduras
Cacao Prieto,"Criollo, Dominican Republic",2012,72.0,U.S.A.,3.75,Criollo,Dominican Republic
Cacao Prieto,"Dominican Republicm, rustic",2011,72.0,U.S.A.,3.0,Blend,Dominican Republic
Cacao Prieto,Dominican Republic,2011,66.0,U.S.A.,3.75,Blend,Dominican Republic
Cacao Prieto,"Dominican Republic, rustic",2011,65.0,U.S.A.,3.25,Blend,Dominican Republic
Cacao Sampaka,"Mahali, Kasai",2016,70.0,Spain,3.5,Criollo,Congo
Cacao Sampaka,Madagascar,2010,71.0,Spain,3.5,Trinitario,Madagascar
Cacao Sampaka,Ecuador,2010,71.0,Spain,3.75,Blend,Ecuador
Cacao Sampaka,Papua,2010,71.0,Spain,4.0,Blend,Papua New Guinea
Cacao Sampaka,Grenada,2010,71.0,Spain,3.25,Trinitario,Grenada
Cacao Sampaka,Venezuela,2010,71.0,Spain,3.5,Blend,Venezuela
Cacao Sampaka,Venezuela,2010,77.0,Spain,3.5,Blend,Venezuela
Cacao Sampaka,"Porcelana, Tabasco, La Joya",2009,70.0,Spain,4.0,Criollo,Mexico
Cacao Sampaka,"Xoconusco, Chiapas",2009,70.0,Spain,4.0,Criollo,Mexico
