Company,Specific Bean Origin,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin,price(100g)
Altus aka Cao Artisan,Gruppo Salinas,2016,60.0,U.S.A.,55.0,Blend,Ecuador,82500.0
Altus aka Cao Artisan,Sur del Lago,2013,60.0,U.S.A.,50.0,Blend,Venezuela,75000.0
Altus aka Cao Artisan,Conacado,2013,60.0,U.S.A.,60.0,Trinitario,Dominican Republic,90000.0
Altus aka Cao Artisan,Bolivia,2013,80.0,U.S.A.,65.0,Blend,Bolivia,130000.0
Altus aka Cao Artisan,Bolivia,2013,60.0,U.S.A.,60.0,Blend,Bolivia,90000.0
Altus aka Cao Artisan,Peru,2013,60.0,U.S.A.,65.0,Blend,Peru,97500.0
Amano,Morobe,2011,70.0,U.S.A.,80.0,Blend,Papua New Guinea,140000.0
Amano,Dos Rios,2010,70.0,U.S.A.,75.0,Blend,Dominican Republic,131250.0
Amano,Guayas,2010,70.0,U.S.A.,80.0,Blend,Ecuador,140000.0
Amano,Chuao,2010,70.0,U.S.A.,60.0,Trinitario,Venezuela,105000.0
Amano,Montanya,2009,70.0,U.S.A.,60.0,Blend,Venezuela,105000.0
Amano,"Bali, Jembrana",2008,70.0,U.S.A.,55.0,Blend,Indonesia,96250.0
Amano,Madagascar,2007,70.0,U.S.A.,70.0,Trinitario,Madagascar,122500.0
Amano,Cuyagua,2007,70.0,U.S.A.,60.0,Blend,Venezuela,105000.0
Amano,Ocumare,2007,70.0,U.S.A.,75.0,Criollo,Venezuela,131250.0
Amatller (Simon Coll),Ghana,2009,70.0,Spain,60.0,Forastero,Ghana,105000.0
Amatller (Simon Coll),Ecuador,2009,70.0,Spain,55.0,Blend,Ecuador,96250.0
Amatller (Simon Coll),Ecuador,2009,85.0,Spain,55.0,Blend,Ecuador,116875.0
Amatller (Simon Coll),Ghana,2009,85.0,Spain,60.0,Forastero,Ghana,127500.0
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",2013,72.0,Peru,65.0,Blend,Peru,117000.0
Amazona,"Bellavista Gran Pajeten, San Martin",2013,73.0,Peru,70.0,Trinitario,Peru,127750.0
Ambrosia,Belize,2015,64.0,Canada,60.0,Trinitario,Belize,96000.0
Ambrosia,Madagascar,2015,66.0,Canada,65.0,Trinitario,Madagascar,107250.0
Ambrosia,Dominican Republic,2015,75.0,Canada,65.0,Blend,Dominican Republic,121875.0
Ambrosia,Papua New Guinea,2015,63.0,Canada,65.0,Blend,Papua New Guinea,102375.0
Ambrosia,Venezuela,2015,70.0,Canada,65.0,Blend,Venezuela,113750.0
Ambrosia,Peru,2015,68.0,Canada,70.0,Blend,Peru,119000.0
Amedei,"Piura, Blanco de Criollo",2012,70.0,Italy,75.0,Blend,Peru,131250.0
Amedei,Porcelana,2007,70.0,Italy,80.0,Criollo (Porcelana),Venezuela,140000.0
Amedei,Nine,2007,75.0,Italy,80.0,Blend,Other,150000.0
Amedei,Chuao,2007,70.0,Italy,100.0,Trinitario,Venezuela,175000.0
Amedei,Ecuador,2007,70.0,Italy,60.0,Trinitario,Ecuador,105000.0
Amedei,Jamaica,2007,70.0,Italy,60.0,Trinitario,Jamaica,105000.0
Amedei,Grenada,2007,70.0,Italy,70.0,Trinitario,Grenada,122500.0
Amedei,Venezuela,2007,70.0,Italy,75.0,Trinitario (85% Criollo),Venezuela,131250.0
Amedei,Madagascar,2007,70.0,Italy,80.0,Trinitario (85% Criollo),Madagascar,140000.0
Amedei,Trinidad,2007,70.0,Italy,70.0,Trinitario,Trinidad,122500.0
Amedei,Toscano Black,2007,63.0,Italy,70.0,Blend,Other,110250.0
Amedei,Toscano Black,2006,70.0,Italy,100.0,Blend,Other,175000.0
Amedei,Toscano Black,2006,66.0,Italy,80.0,Blend,Other,132000.0
AMMA,Catongo,2013,75.0,Brazil,65.0,Forastero (Catongo),Brazil,121875.0
AMMA,"Monte Alegre, 3 diff. plantations",2010,85.0,Brazil,55.0,Forastero (Parazinho),Brazil,116875.0
AMMA,"Monte Alegre, 3 diff. plantations",2010,50.0,Brazil,75.0,Forastero (Parazinho),Brazil,93750.0
AMMA,"Monte Alegre, 3 diff. plantations",2010,75.0,Brazil,75.0,Forastero (Parazinho),Brazil,140625.0
AMMA,"Monte Alegre, 3 diff. plantations",2010,60.0,Brazil,80.0,Forastero (Parazinho),Brazil,120000.0
Anahata,Elvesia,2014,75.0,U.S.A.,60.0,Blend,Dominican Republic,112500.0
Animas,Alto Beni,2016,75.0,U.S.A.,70.0,Blend,Bolivia,131250.0
Ara,Madagascar,2014,75.0,France,60.0,Trinitario,Madagascar,112500.0
Ara,Chiapas,2014,72.0,France,50.0,Blend,Mexico,90000.0
Ara,Equateur,2014,75.0,France,55.0,Blend,Ecuador,103125.0
Ara,Trincheras,2014,75.0,France,60.0,Blend,Venezuela,112500.0
Arete,San Juan,2016,70.0,U.S.A.,70.0,Trinitario,Trinidad,122500.0
Arete,Kokoa Kamili,2016,70.0,U.S.A.,75.0,Blend,Tanzania,131250.0
Arete,Tien Giang,2016,73.0,U.S.A.,70.0,Trinitario,Vietnam,127750.0
Arete,Hacienda Victoria,2016,70.0,U.S.A.,65.0,Blend,Ecuador,113750.0
Arete,Costa Esmeraldas,2016,70.0,U.S.A.,65.0,Blend,Ecuador,113750.0
Arete,Lachua,2016,70.0,U.S.A.,70.0,Blend,Guatemala,122500.0
Arete,Rugoso,2016,70.0,U.S.A.,75.0,Blend,Nicaragua,131250.0
Arete,"La Masica, FHIA",2016,70.0,U.S.A.,70.0,Blend,Honduras,122500.0
Arete,"Coto Brus, Terciopelo",2016,70.0,U.S.A.,80.0,Blend,Costa Rica,140000.0
Arete,Phantom,2016,70.0,U.S.A.,80.0,Forastero (Nacional),Peru,140000.0
Arete,Elvesia,2016,70.0,U.S.A.,75.0,Blend,Dominican Republic,131250.0
Arete,Matasawalevu,2016,70.0,U.S.A.,65.0,Blend,Fiji,113750.0
Arete,Lam Dong,2016,73.0,U.S.A.,65.0,Blend,Vietnam,118625.0
Arete,Fazenda Camboa,2015,70.0,U.S.A.,70.0,Blend,Brazil,122500.0
Arete,Nacional,2015,68.0,U.S.A.,70.0,Forastero (Nacional),Peru,119000.0
Arete,"Puerto Quito, heirloom",2015,70.0,U.S.A.,75.0,Forastero (Nacional),Ecuador,131250.0
Arete,Oko Caribe,2015,70.0,U.S.A.,70.0,Blend,Domincan Republic,122500.0
Arete,Maya Mountain,2015,70.0,U.S.A.,75.0,Trinitario,Belize,131250.0
Arete,Chuno,2015,70.0,U.S.A.,80.0,"Criollo, Trinitario",Nicaragua,140000.0
Arete,Fazenda Camboa,2015,75.0,U.S.A.,55.0,Blend,Brazil,103125.0
Arete,Guatemala,2015,70.0,U.S.A.,65.0,Blend,Guatemala,113750.0
Arete,Camino Verde,2015,75.0,U.S.A.,70.0,Blend,Ecuador,131250.0
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",2013,72.0,U.K.,65.0,Trinitario,Trinidad,117000.0
Artisan du Chocolat,"Colombia, Casa Luker",2012,72.0,U.K.,75.0,Blend,Colombia,135000.0
Artisan du Chocolat,Haiti,2011,72.0,U.K.,80.0,Blend,Haiti,144000.0
Artisan du Chocolat,Panama,2011,72.0,U.K.,55.0,Blend,Panama,99000.0
Artisan du Chocolat,Venezuela,2010,100.0,U.K.,35.0,Blend,Venezuela,87500.0
Artisan du Chocolat,Jamaica,2010,72.0,U.K.,75.0,Trinitario,Jamaica,135000.0
Artisan du Chocolat,Costa Rica,2010,72.0,U.K.,65.0,Blend,Costa Rica,117000.0
Artisan du Chocolat,Ba Ria Vung Tau Province,2010,72.0,U.K.,65.0,Trinitario,Vietnam,117000.0
Artisan du Chocolat,Bali,2010,72.0,U.K.,70.0,Blend,Indonesia,126000.0
Artisan du Chocolat,"Ocumare, Venezuela",2009,75.0,U.K.,50.0,"Criollo, Trinitario",Venezuela,93750.0
Artisan du Chocolat,Java,2009,72.0,U.K.,55.0,Trinitario,Indonesia,99000.0
Artisan du Chocolat,Brazil Rio Doce,2009,72.0,U.K.,35.0,Blend,Brazil,63000.0
Artisan du Chocolat,Madagascar,2009,80.0,U.K.,60.0,"Criollo, Trinitario",Madagascar,120000.0
Artisan du Chocolat,Peru,2009,75.0,U.K.,60.0,Criollo,Peru,112500.0
Artisan du Chocolat,Dominican Republic,2009,72.0,U.K.,65.0,Trinitario,Dominican Republic,117000.0
Artisan du Chocolat,Congo,2008,72.0,U.K.,75.0,Forastero,Congo,135000.0
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",2013,72.0,U.K.,55.0,Trinitario,Colombia,99000.0
Askinosie,Mababa,2016,68.0,U.S.A.,75.0,Trinitario,Tanzania,127500.0
Askinosie,"Tenende, Uwate",2011,72.0,U.S.A.,75.0,Trinitario,Tanzania,135000.0
Askinosie,Cortes,2011,70.0,U.S.A.,75.0,Trinitario,Honduras,131250.0
Askinosie,Davao,2009,77.0,U.S.A.,75.0,Trinitario,Philippines,144375.0
Askinosie,Xoconusco,2007,75.0,U.S.A.,50.0,Trinitario,Mexico,93750.0
Askinosie,San Jose del Tambo,2007,70.0,U.S.A.,60.0,Forastero (Arriba),Ecuador,105000.0
Bahen & Co.,Houseblend,2015,80.0,Australia,65.0,Blend,Other,130000.0
Bahen & Co.,Papua New Guinea,2015,70.0,Australia,70.0,Blend,Papua New Guinea,122500.0
Bahen & Co.,Sambirano,2012,70.0,Australia,60.0,Trinitario,Madagascar,105000.0
Bahen & Co.,Bahia,2012,70.0,Australia,50.0,Blend,Brazil,87500.0
Bahen & Co.,Houseblend,2012,70.0,Australia,50.0,Blend,Other,87500.0
Bakau,"Bambamarca, 2015",2015,70.0,Peru,55.0,Blend,Peru,96250.0
Bakau,"Huallabamba, 2015",2015,70.0,Peru,70.0,Blend,Peru,122500.0
Bar Au Chocolat,Bahia,2015,70.0,U.S.A.,70.0,Blend,Brazil,122500.0
Bar Au Chocolat,Maranon Canyon,2014,70.0,U.S.A.,80.0,Forastero (Nacional),Peru,140000.0
Bar Au Chocolat,Duarte Province,2012,70.0,U.S.A.,65.0,Blend,Dominican Republic,113750.0
Bar Au Chocolat,Chiapas,2012,70.0,U.S.A.,70.0,Blend,Mexico,122500.0
Bar Au Chocolat,Sambirano,2012,70.0,U.S.A.,75.0,Trinitario,Madagascar,131250.0
Baravelli's,single estate,2012,80.0,Wales,55.0,Blend,Costa Rica,110000.0
Batch,"Dominican Republic, Batch 3",2016,65.0,U.S.A.,70.0,Blend,Domincan Republic,113750.0
Batch,Brazil,2016,70.0,U.S.A.,75.0,Blend,Brazil,131250.0
Batch,Ecuador,2016,65.0,U.S.A.,65.0,Blend,Ecuador,105625.0
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",2017,73.0,U.K.,60.0,Blend,Malaysia,109500.0
Beau Cacao,"Serian E., NW Borneo, b. #134/3800",2017,72.0,U.K.,65.0,Blend,Malaysia,117000.0
Beehive,"Brazil, Batch 20316",2016,80.0,U.S.A.,55.0,Blend,Brazil,110000.0
Beehive,"Dominican Republic, Batch 31616",2016,70.0,U.S.A.,55.0,Blend,Domincan Republic,96250.0
Beehive,"Ecuador, Batch 31516",2016,70.0,U.S.A.,55.0,Blend,Ecuador,96250.0
Beehive,Ecuador,2016,90.0,U.S.A.,55.0,Blend,Ecuador,123750.0
Belcolade,Costa Rica,2010,64.0,Belgium,55.0,Blend,Costa Rica,88000.0
Belcolade,Papua New Guinea,2010,64.0,Belgium,55.0,Blend,Papua New Guinea,88000.0
Belcolade,Peru,2010,64.0,Belgium,55.0,Blend,Peru,88000.0
Belcolade,Ecuador,2010,71.0,Belgium,70.0,Blend,Ecuador,124250.0
Bellflower,"Kakao Kamili, Kilombero Valley",2016,70.0,U.S.A.,70.0,"Criollo, Trinitario",Tanzania,122500.0
Bellflower,"Alto Beni, Palos Blanco",2016,70.0,U.S.A.,65.0,Blend,Bolivia,113750.0
Bellflower,"Oko Caribe, Duarte P.",2016,70.0,U.S.A.,70.0,Blend,Domincan Republic,122500.0
Belyzium,"Belize south, low fermentation",2016,83.0,Germany,55.0,Trinitario,Belize,114125.0
Belyzium,Belize south,2016,78.0,Germany,60.0,Trinitario,Belize,117000.0
Belyzium,Belize south,2016,83.0,Germany,70.0,Trinitario,Belize,145250.0
Benoit Nihant,Baracoa,2013,74.0,Belgium,70.0,Trinitario,Cuba,129500.0
Benoit Nihant,Chuao,2013,74.0,Belgium,70.0,Criollo,Venezuela,129500.0
Benoit Nihant,Cuyagua Village,2013,74.0,Belgium,70.0,Criollo,Venezuela,129500.0
Benoit Nihant,Rio Peripa H.,2013,73.0,Belgium,80.0,Trinitario,Ecuador,146000.0
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",2011,72.0,Belgium,80.0,Trinitario,Indonesia,144000.0
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",2011,72.0,Belgium,75.0,Trinitario,Madagascar,135000.0
Bernachon,Nature,2012,55.0,France,55.0,Blend,Other,75625.0
Beschle (Felchlin),Madagascar,2011,64.0,Switzerland,60.0,Trinitario,Madagascar,96000.0
Beschle (Felchlin),Maracaibo,2011,88.0,Switzerland,60.0,Criollo,Venezuela,132000.0
Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",2011,72.0,Switzerland,70.0,Blend,Venezuela,126000.0
Beschle (Felchlin),Ecuador,2011,72.0,Switzerland,80.0,Blend,Ecuador,144000.0
Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",2010,70.0,Switzerland,65.0,Trinitario,Venezuela,113750.0
Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",2010,74.0,Switzerland,65.0,Criollo (Porcelana),Venezuela,120250.0
Beschle (Felchlin),"Java, Grand Cru",2010,64.0,Switzerland,70.0,Blend,Indonesia,112000.0
Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",2010,72.0,Switzerland,70.0,Blend,Venezuela,126000.0
Bisou,"Nicaragua, American style",2015,76.0,U.S.A.,50.0,Blend,Nicaragua,95000.0
Bisou,"San Andres, American style",2015,76.0,U.S.A.,50.0,Blend,Costa Rica,95000.0
Bisou,"San Andres, silk",2015,78.0,U.S.A.,50.0,Blend,Costa Rica,97500.0
Bisou,Belize,2015,86.0,U.S.A.,65.0,Trinitario,Belize,139750.0
Bittersweet Origins,Ghana,2012,72.0,U.S.A.,70.0,Forastero,Ghana,126000.0
Bittersweet Origins,"Bali, Singaraja",2010,75.0,U.S.A.,65.0,Blend,Indonesia,121875.0
Bittersweet Origins,2009 Hapa Nibby,2010,70.0,U.S.A.,75.0,Blend,"Dominican Rep., Bali",131250.0
Bittersweet Origins,"Bali, Singaraja",2010,65.0,U.S.A.,55.0,Blend,Indonesia,89375.0
Bittersweet Origins,"Sambirano, 2009",2010,70.0,U.S.A.,60.0,Trinitario,Madagascar,105000.0
Bittersweet Origins,"Ocumare, prototype",2010,78.0,U.S.A.,60.0,Criollo,Venezuela,117000.0
Bittersweet Origins,Puerto Plata,2009,75.0,U.S.A.,60.0,Blend,Dominican Republic,112500.0
Bittersweet Origins,Puerto Plata,2009,65.0,U.S.A.,70.0,Blend,Dominican Republic,113750.0
Bittersweet Origins,Sambirano,2009,75.0,U.S.A.,65.0,Trinitario,Madagascar,121875.0
Bittersweet Origins,Sambirano,2009,65.0,U.S.A.,70.0,Trinitario,Madagascar,113750.0
Bittersweet Origins,Sambirano,2008,71.0,U.S.A.,60.0,Trinitario,Madagascar,106500.0
Bittersweet Origins,Bocas del Toro,2008,75.0,U.S.A.,70.0,Blend,Panama,131250.0
Bittersweet Origins,Puerto Plata,2008,68.0,U.S.A.,75.0,Blend,Dominican Republic,127500.0
Bittersweet Origins,Ankasa,2008,70.0,U.S.A.,60.0,Forastero,Ghana,105000.0
Black Mountain,La Red,2008,70.0,U.S.A.,55.0,Blend,Dominican Republic,96250.0
Black Mountain,Carenero Superior,2008,70.0,U.S.A.,55.0,Trinitario,Venezuela,96250.0
Black Mountain,Matiguas,2008,70.0,U.S.A.,60.0,Blend,Nicaragua,105000.0
Black River (A. Morin),Blue Mountain Region,2014,70.0,U.K.,55.0,Trinitario,Jamaica,96250.0
Blanxart,"Congo, Grand Cru",2013,82.0,Spain,70.0,Forastero,Congo,143500.0
Blanxart,Organic Dark,2009,72.0,Spain,55.0,Blend,Other,99000.0
Blue Bandana,"Akesson's E., Sambirano V.",2016,82.0,U.S.A.,70.0,Trinitario,Madagascar,143500.0
Blue Bandana,Lachua,2016,75.0,U.S.A.,55.0,Blend,Guatemala,103125.0
Blue Bandana,Kokoa Kamili,2016,75.0,U.S.A.,70.0,Blend,Tanzania,131250.0
Blue Bandana,Zorzal Reserva,2016,75.0,U.S.A.,60.0,Blend,Dominican Republic,112500.0
Blue Bandana,Guatemala,2012,70.0,U.S.A.,70.0,Blend,Guatemala,122500.0
Blue Bandana,Madagascar,2012,70.0,U.S.A.,75.0,Trinitario,Madagascar,131250.0
Bonnat,Selva Maya,2016,75.0,France,70.0,Blend,Mexico,131250.0
Bonnat,Kaori,2014,75.0,France,80.0,Blend,Brazil,150000.0
Bonnat,"Los Colorados, Santo Domingo, Equateur",2014,75.0,France,65.0,Blend,Dominican Republic,121875.0
Bonnat,Surfin,2014,65.0,France,75.0,Blend,"Venez,Africa,Brasil,Peru,Mex",121875.0
Bonnat,Maragnam,2013,75.0,France,70.0,Blend,Brazil,131250.0
Bonnat,Gabon,2013,75.0,France,65.0,Blend,Gabon,121875.0
Bonnat,Cuba,2011,75.0,France,70.0,Trinitario,Cuba,131250.0
Bonnat,"Cusco, Cacao Cusco",2011,75.0,France,70.0,Blend,Peru,131250.0
Bonnat,Piura Blanco,2011,75.0,France,70.0,Forastero (Nacional),Peru,131250.0
Bonnat,Libanio,2011,75.0,France,75.0,Blend,Brazil,140625.0
Bonnat,Haiti,2011,75.0,France,80.0,Blend,Haiti,150000.0
Bonnat,"Madagascar, 100% criollo",2011,75.0,France,80.0,Criollo,Madagascar,150000.0
Bonnat,Juliana,2011,75.0,France,70.0,Blend,Brazil,131250.0
Bonnat,Jamaique,2011,75.0,France,65.0,Trinitario,Jamaica,121875.0
Bonnat,Ivory Coast,2009,75.0,France,60.0,Blend,Ivory Coast,112500.0
Bonnat,"Porcelana, Apotequil",2009,75.0,France,55.0,Criollo,Peru,103125.0
Bonnat,"Porcelana, Tabasco, Marfil de Blanco",2009,75.0,France,60.0,Criollo,Mexico,112500.0
Bonnat,"Xoconusco, cacao Real",2009,75.0,France,60.0,Criollo,Mexico,112500.0
Bonnat,"Porcelana, Venezuela",2008,75.0,France,80.0,Criollo (Porcelana),Venezuela,150000.0
Bonnat,Equateur,2007,75.0,France,50.0,Forastero (Arriba),Ecuador,93750.0
Bonnat,Trinite,2006,75.0,France,75.0,Trinitario,Carribean,140625.0
Bonnat,"Ocumare, Puerto Cabello",2006,75.0,France,80.0,Blend,Venezuela,150000.0
Bonnat,"Maracaibo, El Rosario",2006,75.0,France,80.0,Criollo,Venezuela,150000.0
Bonnat,Madagascar,2006,75.0,France,80.0,Trinitario,Madagascar,150000.0
Bonnat,One Hundred,2006,100.0,France,30.0,Blend,Other,75000.0
Bonnat,Ceylan,2006,75.0,France,60.0,Blend,Sri Lanka,112500.0
Bonnat,Chuao,2006,75.0,France,80.0,Trinitario,Venezuela,150000.0
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",2009,77.0,Ecuador,65.0,Forastero (Arriba),Ecuador,125125.0
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",2009,100.0,Ecuador,30.0,Forastero (Arriba),Ecuador,75000.0
Bowler Man,Maya Mountain,2014,70.0,U.S.A.,55.0,Trinitario,Belize,96250.0
Bowler Man,Conacado,2014,70.0,U.S.A.,55.0,Blend,Dominican Republic,96250.0
Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",2016,70.0,U.S.A.,70.0,Criollo,Venezuela,122500.0
Brasstown aka It's Chocolate,"O'payo, Waslala",2016,70.0,U.S.A.,75.0,Blend,Nicaragua,131250.0
Brasstown aka It's Chocolate,Conacado,2015,68.0,U.S.A.,75.0,Blend,Dominican Republic,127500.0
Brasstown aka It's Chocolate,Maya Mountain,2014,70.0,U.S.A.,75.0,Trinitario,Belize,131250.0
Brasstown aka It's Chocolate,Chuao,2014,70.0,U.S.A.,80.0,Trinitario,Venezuela,140000.0
Brasstown aka It's Chocolate,Cooproagro,2013,72.0,U.S.A.,60.0,Trinitario,Dominican Republic,108000.0
Brasstown aka It's Chocolate,"Camino Verde, Guayas",2013,70.0,U.S.A.,65.0,Blend,Ecuador,113750.0
Brasstown aka It's Chocolate,Ghana,2013,75.0,U.S.A.,70.0,Forastero,Ghana,131250.0
Brasstown aka It's Chocolate,"Chuao, Mantuano blend",2013,85.0,U.S.A.,70.0,Trinitario,Venezuela,148750.0
Brazen,Elvesia P.,2015,60.0,U.S.A.,60.0,Blend,Dominican Republic,90000.0
Brazen,Elvesia P.,2015,80.0,U.S.A.,65.0,Blend,Dominican Republic,130000.0
Brazen,"Alta Verapaz, 2014",2015,70.0,U.S.A.,70.0,Blend,Guatemala,122500.0
Brazen,Ambolikapiky P.,2015,80.0,U.S.A.,55.0,Blend,Madagascar,110000.0
Brazen,Maya Mountain,2015,80.0,U.S.A.,65.0,Trinitario,Belize,130000.0
Brazen,Ambolikapkly P.,2015,60.0,U.S.A.,65.0,Blend,Madagascar,97500.0
Breeze Mill,Jamaica,2013,70.0,U.S.A.,60.0,Trinitario,Jamaica,105000.0
Bright,Somia Plantation,2014,72.0,Australia,60.0,Trinitario,Madagascar,108000.0
Bright,Marabel Farms,2014,70.0,Australia,70.0,Blend,Dominican Republic,122500.0
Bright,"Camino Verde, Balao, Guayas",2014,72.0,Australia,70.0,Blend,Ecuador,126000.0
Bright,Gran Couva,2014,68.0,Australia,55.0,Trinitario,Trinidad,93500.0
Britarev,Ecuador,2015,70.0,Russia,65.0,Blend,Ecuador,113750.0
Bronx Grrl Chocolate,Dominican Republic,2013,68.0,U.S.A.,55.0,Blend,Dominican Republic,93500.0
Burnt Fork Bend,Trinidad,2014,72.0,U.S.A.,65.0,Trinitario,Trinidad,117000.0
Burnt Fork Bend,Mindo,2014,72.0,U.S.A.,70.0,Blend,Ecuador,126000.0
Burnt Fork Bend,Belize,2014,72.0,U.S.A.,65.0,Trinitario,Belize,117000.0
Burnt Fork Bend,Blend,2014,72.0,U.S.A.,65.0,Blend,Other,117000.0
Burnt Fork Bend,"Ecuador, Bob Bar",2014,60.0,U.S.A.,50.0,Blend,Ecuador,75000.0
Cacao Arabuco,Puerto Rico,2015,70.0,Puerto Rico,50.0,Blend,Puerto Rico,87500.0
Cacao Atlanta,Tumbes,2014,75.0,U.S.A.,50.0,Criollo,Peru,93750.0
Cacao Atlanta,"Dominican Republic, ""Love Bar""",2010,75.0,U.S.A.,50.0,Blend,Dominican Republic,93750.0
Cacao Atlanta,Dominican Republic w/ nibs,2010,75.0,U.S.A.,55.0,Blend,Dominican Republic,103125.0
Cacao Atlanta,Patanemo,2010,75.0,U.S.A.,45.0,Blend,Venezuela,84375.0
Cacao Barry,Grand 'Anse,2016,65.0,France,70.0,"Trinitario, Criollo",Haiti,113750.0
