,Company,Specific Bean Origin,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin,price(100g)
29,Arete,Camino Verde,2015,75.0,U.S.A.,70.0,Blend,Ecuador,131250.0
30,Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",2013,72.0,U.K.,65.0,Trinitario,Trinidad,141570.00000000003
31,Artisan du Chocolat,"Colombia, Casa Luker",2012,72.0,U.K.,75.0,Blend,Colombia,135000.0
32,Artisan du Chocolat,Haiti,2011,72.0,U.K.,80.0,Blend,Haiti,144000.0
33,Artisan du Chocolat,Panama,2011,72.0,U.K.,55.0,Blend,Panama,99000.0
34,Artisan du Chocolat,Venezuela,2010,100.0,U.K.,35.0,Blend,Venezuela,87500.0
35,Artisan du Chocolat,Jamaica,2010,72.0,U.K.,75.0,Trinitario,Jamaica,163350.0
36,Artisan du Chocolat,Costa Rica,2010,72.0,U.K.,65.0,Blend,Costa Rica,117000.0
37,Artisan du Chocolat,Ba Ria Vung Tau Province,2010,72.0,U.K.,65.0,Trinitario,Vietnam,141570.00000000003
38,Artisan du Chocolat,Bali,2010,72.0,U.K.,70.0,Blend,Indonesia,126000.0
39,Artisan du Chocolat,"Ocumare, Venezuela",2009,75.0,U.K.,50.0,"Criollo, Trinitario",Venezuela,93750.0
40,Artisan du Chocolat,Java,2009,72.0,U.K.,55.0,Trinitario,Indonesia,119790.00000000003
41,Artisan du Chocolat,Brazil Rio Doce,2009,72.0,U.K.,35.0,Blend,Brazil,63000.0
42,Artisan du Chocolat,Madagascar,2009,80.0,U.K.,60.0,"Criollo, Trinitario",Madagascar,120000.0
43,Artisan du Chocolat,Peru,2009,75.0,U.K.,60.0,Criollo,Peru,112500.0
44,Artisan du Chocolat,Dominican Republic,2009,72.0,U.K.,65.0,Trinitario,Dominican Republic,141570.00000000003
45,Artisan du Chocolat,Congo,2008,72.0,U.K.,75.0,Forastero,Congo,135000.0
46,Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",2013,72.0,U.K.,55.0,Trinitario,Colombia,119790.00000000003
47,Askinosie,"Tenende, Uwate",2011,72.0,U.S.A.,75.0,Trinitario,Tanzania,163350.0
48,Askinosie,Davao,2009,77.0,U.S.A.,75.0,Trinitario,Philippines,174693.75
49,Askinosie,Xoconusco,2007,75.0,U.S.A.,50.0,Trinitario,Mexico,113437.50000000003
50,Bahen & Co.,Houseblend,2015,80.0,Australia,65.0,Blend,Other,130000.0
51,Baravelli's,single estate,2012,80.0,Wales,55.0,Blend,Costa Rica,110000.0
52,Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",2017,73.0,U.K.,60.0,Blend,Malaysia,109500.0
53,Beau Cacao,"Serian E., NW Borneo, b. #134/3800",2017,72.0,U.K.,65.0,Blend,Malaysia,117000.0
54,Beehive,"Brazil, Batch 20316",2016,80.0,U.S.A.,55.0,Blend,Brazil,110000.0
55,Beehive,Ecuador,2016,90.0,U.S.A.,55.0,Blend,Ecuador,123750.0
56,Belcolade,Ecuador,2010,71.0,Belgium,70.0,Blend,Ecuador,124250.0
57,Belyzium,"Belize south, low fermentation",2016,83.0,Germany,55.0,Trinitario,Belize,138091.25000000003
58,Belyzium,Belize south,2016,78.0,Germany,60.0,Trinitario,Belize,141570.00000000003
59,Belyzium,Belize south,2016,83.0,Germany,70.0,Trinitario,Belize,175752.5
60,Benoit Nihant,Baracoa,2013,74.0,Belgium,70.0,Trinitario,Cuba,156695.0
61,Benoit Nihant,Chuao,2013,74.0,Belgium,70.0,Criollo,Venezuela,129500.0
62,Benoit Nihant,Cuyagua Village,2013,74.0,Belgium,70.0,Criollo,Venezuela,129500.0
63,Benoit Nihant,Rio Peripa H.,2013,73.0,Belgium,80.0,Trinitario,Ecuador,176660.0
64,Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",2011,72.0,Belgium,80.0,Trinitario,Indonesia,174240.0
65,Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",2011,72.0,Belgium,75.0,Trinitario,Madagascar,163350.0
66,Beschle (Felchlin),Maracaibo,2011,88.0,Switzerland,60.0,Criollo,Venezuela,132000.0
67,Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",2011,72.0,Switzerland,70.0,Blend,Venezuela,126000.0
68,Beschle (Felchlin),Ecuador,2011,72.0,Switzerland,80.0,Blend,Ecuador,144000.0
69,Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",2010,74.0,Switzerland,65.0,Criollo (Porcelana),Venezuela,120250.0
70,Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",2010,72.0,Switzerland,70.0,Blend,Venezuela,126000.0
71,Bisou,"Nicaragua, American style",2015,76.0,U.S.A.,50.0,Blend,Nicaragua,95000.0
72,Bisou,"San Andres, American style",2015,76.0,U.S.A.,50.0,Blend,Costa Rica,95000.0
73,Bisou,"San Andres, silk",2015,78.0,U.S.A.,50.0,Blend,Costa Rica,97500.0
74,Bisou,Belize,2015,86.0,U.S.A.,65.0,Trinitario,Belize,169097.5
75,Bittersweet Origins,Ghana,2012,72.0,U.S.A.,70.0,Forastero,Ghana,126000.0
76,Bittersweet Origins,"Bali, Singaraja",2010,75.0,U.S.A.,65.0,Blend,Indonesia,121875.0
77,Bittersweet Origins,"Ocumare, prototype",2010,78.0,U.S.A.,60.0,Criollo,Venezuela,117000.0
78,Bittersweet Origins,Puerto Plata,2009,75.0,U.S.A.,60.0,Blend,Dominican Republic,112500.0
79,Bittersweet Origins,Sambirano,2009,75.0,U.S.A.,65.0,Trinitario,Madagascar,147468.75
80,Bittersweet Origins,Sambirano,2008,71.0,U.S.A.,60.0,Trinitario,Madagascar,128865.00000000003
81,Bittersweet Origins,Bocas del Toro,2008,75.0,U.S.A.,70.0,Blend,Panama,131250.0
82,Blanxart,"Congo, Grand Cru",2013,82.0,Spain,70.0,Forastero,Congo,143500.0
83,Blanxart,Organic Dark,2009,72.0,Spain,55.0,Blend,Other,99000.0
84,Blue Bandana,"Akesson's E., Sambirano V.",2016,82.0,U.S.A.,70.0,Trinitario,Madagascar,173635.0
85,Blue Bandana,Lachua,2016,75.0,U.S.A.,55.0,Blend,Guatemala,103125.0
86,Blue Bandana,Kokoa Kamili,2016,75.0,U.S.A.,70.0,Blend,Tanzania,131250.0
87,Blue Bandana,Zorzal Reserva,2016,75.0,U.S.A.,60.0,Blend,Dominican Republic,112500.0
88,Bonnat,Selva Maya,2016,75.0,France,70.0,Blend,Mexico,131250.0
89,Bonnat,Kaori,2014,75.0,France,80.0,Blend,Brazil,150000.0
90,Bonnat,"Los Colorados, Santo Domingo, Equateur",2014,75.0,France,65.0,Blend,Dominican Republic,121875.0
91,Bonnat,Maragnam,2013,75.0,France,70.0,Blend,Brazil,131250.0
92,Bonnat,Gabon,2013,75.0,France,65.0,Blend,Gabon,121875.0
93,Bonnat,Cuba,2011,75.0,France,70.0,Trinitario,Cuba,158812.5
94,Bonnat,"Cusco, Cacao Cusco",2011,75.0,France,70.0,Blend,Peru,131250.0
95,Bonnat,Piura Blanco,2011,75.0,France,70.0,Forastero (Nacional),Peru,131250.0
96,Bonnat,Libanio,2011,75.0,France,75.0,Blend,Brazil,140625.0
97,Bonnat,Haiti,2011,75.0,France,80.0,Blend,Haiti,150000.0
98,Bonnat,"Madagascar, 100% criollo",2011,75.0,France,80.0,Criollo,Madagascar,150000.0
99,Bonnat,Juliana,2011,75.0,France,70.0,Blend,Brazil,131250.0
100,Bonnat,Jamaique,2011,75.0,France,65.0,Trinitario,Jamaica,147468.75
101,Bonnat,Ivory Coast,2009,75.0,France,60.0,Blend,Ivory Coast,112500.0
102,Bonnat,"Porcelana, Apotequil",2009,75.0,France,55.0,Criollo,Peru,103125.0
103,Bonnat,"Porcelana, Tabasco, Marfil de Blanco",2009,75.0,France,60.0,Criollo,Mexico,112500.0
104,Bonnat,"Xoconusco, cacao Real",2009,75.0,France,60.0,Criollo,Mexico,112500.0
105,Bonnat,"Porcelana, Venezuela",2008,75.0,France,80.0,Criollo (Porcelana),Venezuela,150000.0
106,Bonnat,Equateur,2007,75.0,France,50.0,Forastero (Arriba),Ecuador,93750.0
107,Bonnat,Trinite,2006,75.0,France,75.0,Trinitario,Carribean,170156.25
108,Bonnat,"Ocumare, Puerto Cabello",2006,75.0,France,80.0,Blend,Venezuela,150000.0
109,Bonnat,"Maracaibo, El Rosario",2006,75.0,France,80.0,Criollo,Venezuela,150000.0
110,Bonnat,Madagascar,2006,75.0,France,80.0,Trinitario,Madagascar,181500.00000000003
111,Bonnat,One Hundred,2006,100.0,France,30.0,Blend,Other,75000.0
112,Bonnat,Ceylan,2006,75.0,France,60.0,Blend,Sri Lanka,112500.0
113,Bonnat,Chuao,2006,75.0,France,80.0,Trinitario,Venezuela,181500.00000000003
114,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",2009,77.0,Ecuador,65.0,Forastero (Arriba),Ecuador,125125.0
115,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",2009,100.0,Ecuador,30.0,Forastero (Arriba),Ecuador,75000.0
116,Brasstown aka It's Chocolate,Cooproagro,2013,72.0,U.S.A.,60.0,Trinitario,Dominican Republic,130680.00000000003
117,Brasstown aka It's Chocolate,Ghana,2013,75.0,U.S.A.,70.0,Forastero,Ghana,131250.0
118,Brasstown aka It's Chocolate,"Chuao, Mantuano blend",2013,85.0,U.S.A.,70.0,Trinitario,Venezuela,179987.5
119,Brazen,Elvesia P.,2015,80.0,U.S.A.,65.0,Blend,Dominican Republic,130000.0
120,Brazen,Ambolikapiky P.,2015,80.0,U.S.A.,55.0,Blend,Madagascar,110000.0
121,Brazen,Maya Mountain,2015,80.0,U.S.A.,65.0,Trinitario,Belize,157300.0
122,Bright,Somia Plantation,2014,72.0,Australia,60.0,Trinitario,Madagascar,130680.00000000003
123,Bright,"Camino Verde, Balao, Guayas",2014,72.0,Australia,70.0,Blend,Ecuador,126000.0
124,Burnt Fork Bend,Trinidad,2014,72.0,U.S.A.,65.0,Trinitario,Trinidad,141570.00000000003
125,Burnt Fork Bend,Mindo,2014,72.0,U.S.A.,70.0,Blend,Ecuador,126000.0
126,Burnt Fork Bend,Belize,2014,72.0,U.S.A.,65.0,Trinitario,Belize,141570.00000000003
127,Burnt Fork Bend,Blend,2014,72.0,U.S.A.,65.0,Blend,Other,117000.0
128,Cacao Atlanta,Tumbes,2014,75.0,U.S.A.,50.0,Criollo,Peru,93750.0
129,Cacao Atlanta,"Dominican Republic, ""Love Bar""",2010,75.0,U.S.A.,50.0,Blend,Dominican Republic,93750.0
130,Cacao Atlanta,Dominican Republic w/ nibs,2010,75.0,U.S.A.,55.0,Blend,Dominican Republic,103125.0
131,Cacao Atlanta,Patanemo,2010,75.0,U.S.A.,45.0,Blend,Venezuela,84375.0
132,Cacao Barry,Tanzania,2008,75.0,France,40.0,Blend,Tanzania,75000.0
133,Cacao Barry,Venezuela,2007,72.0,France,40.0,Blend,Venezuela,72000.0
134,Cacao de Origen,Chuao,2015,77.0,Venezuela,70.0,Trinitario,Venezuela,163047.5
135,Cacao de Origen,Rio Caribe,2015,75.0,Venezuela,65.0,Trinitario,Venezuela,147468.75
136,Cacao de Origen,Agua Fria; Sucre region,2014,75.0,Venezuela,50.0,Blend,Venezuela,93750.0
137,Cacao de Origen,Macuare; Miranda; Chloe formula,2014,74.0,Venezuela,65.0,Blend,Venezuela,120250.0
138,Cacao de Origen,"Chuao, Aragua region",2014,75.0,Venezuela,70.0,Trinitario,Venezuela,158812.5
139,Cacao de Origin,Hacienda la Trinidad,2015,74.0,Venezuela,65.0,Blend,Venezuela,120250.0
140,Cacao Hunters,Macondo,2016,71.0,Colombia,75.0,Blend,Colombia,133125.0
141,Cacao Hunters,Perla Negra,2016,74.0,Colombia,75.0,Blend,Colombia,138750.0
142,Cacao Hunters,Arhuacos,2015,72.0,Colombia,75.0,Blend,Colombia,135000.0
143,Cacao Prieto,"Criollo, Dominican Republic",2012,72.0,U.S.A.,75.0,Criollo,Dominican Republic,135000.0
144,Cacao Prieto,"Dominican Republicm, rustic",2011,72.0,U.S.A.,60.0,Blend,Dominican Republic,108000.0
145,Cacao Sampaka,Madagascar,2010,71.0,Spain,70.0,Trinitario,Madagascar,150342.5
146,Cacao Sampaka,Ecuador,2010,71.0,Spain,75.0,Blend,Ecuador,133125.0
147,Cacao Sampaka,Papua,2010,71.0,Spain,80.0,Blend,Papua New Guinea,142000.0
148,Cacao Sampaka,Grenada,2010,71.0,Spain,65.0,Trinitario,Grenada,139603.75000000003
149,Cacao Sampaka,Venezuela,2010,71.0,Spain,70.0,Blend,Venezuela,124250.0
150,Cacao Sampaka,Venezuela,2010,77.0,Spain,70.0,Blend,Venezuela,134750.0
151,Cacaoyere (Ecuatoriana),Esmeraldas,2008,71.0,Ecuador,70.0,Forastero (Arriba),Ecuador,124250.0
152,Cacaoyere (Ecuatoriana),Bolivar,2008,82.0,Ecuador,50.0,Forastero (Arriba),Ecuador,102500.0
153,Cacaoyere (Ecuatoriana),Pichincha,2008,91.0,Ecuador,30.0,Forastero (Arriba),Ecuador,68250.0
154,C-Amaro,Cuba,2014,75.0,Italy,50.0,Blend,Cuba,93750.0
155,C-Amaro,Dominican Republic,2014,72.0,Italy,60.0,Blend,Dominican Republic,108000.0
156,C-Amaro,Ecuador,2013,100.0,Italy,70.0,Blend,Ecuador,175000.0
157,C-Amaro,Venezuela,2012,80.0,Italy,60.0,Blend,Venezuela,120000.0
158,C-Amaro,Sao Tome,2011,78.0,Italy,45.0,Forastero,Sao Tome,87750.0
159,Cao,Porcelana,2016,75.0,U.S.A.,50.0,Criollo,Venezuela,93750.0
160,Cao,Tanzania,2016,73.0,U.S.A.,55.0,Blend,Tanzania,100375.0
161,Cao,Bolivia,2016,75.0,U.S.A.,60.0,Blend,Bolivia,112500.0
162,Caoni (Tulicorp),Esmeraldas,2008,77.0,Ecuador,40.0,Forastero (Arriba),Ecuador,77000.0
163,Caoni (Tulicorp),Manabi,2008,77.0,Ecuador,50.0,Forastero (Arriba),Ecuador,96250.0
164,Caoni (Tulicorp),Los Rios,2008,77.0,Ecuador,55.0,Forastero (Arriba),Ecuador,105875.0
165,Caribeans,"Antigua, Special Reserve",2015,72.0,Costa Rica,70.0,Blend,Guatemala,126000.0
166,Caribeans,"Talamanca, Raul-Kekoldo community",2015,72.0,Costa Rica,65.0,Blend,Costa Rica,117000.0
167,Caribeans,Anselmo Paraiso Estate,2015,72.0,Costa Rica,70.0,Blend,Costa Rica,126000.0
168,Caribeans,Costa Rica,2012,72.0,Costa Rica,60.0,Forastero,Costa Rica,108000.0
169,Caribeans,Costa Rica,2012,80.0,Costa Rica,55.0,Forastero,Costa Rica,110000.0
170,Castronovo,"Maya Mtn, Batch 454, Heirloom",2016,72.0,U.S.A.,80.0,Trinitario,Belize,174240.0
171,Castronovo,"the lost city, gracias a dias, batch 362",2015,72.0,U.S.A.,70.0,Trinitario,Honduras,152460.0
172,Castronovo,"Piaroa, Amazonas, Batch 350",2015,72.0,U.S.A.,70.0,Blend,Venezuela,126000.0
173,Castronovo,Sierra Nevada,2014,72.0,U.S.A.,70.0,"Criollo, Trinitario",Colombia,126000.0
174,Castronovo,Arauca,2014,76.0,U.S.A.,70.0,"Criollo, Trinitario",Colombia,133000.0
175,Castronovo,Conacado,2013,73.0,U.S.A.,70.0,Trinitario,Dominican Republic,154577.5
176,Castronovo,Nicaragua,2013,72.0,U.S.A.,65.0,Trinitario,Nicaragua,141570.00000000003
177,Castronovo,Guaniamo,2013,72.0,U.S.A.,60.0,Blend,Venezuela,108000.0
178,Cemoi,Equateur,2009,72.0,France,55.0,Blend,Ecuador,99000.0
179,Chchukululu (Tulicorp),Los Rios,2008,75.0,Ecuador,60.0,Forastero (Arriba),Ecuador,112500.0
180,Choco Del Sol,Maya Mountain w/ nibs,2014,75.0,Germany,60.0,Trinitario,Belize,136125.00000000003
181,Choco Del Sol,Maya Mountain,2014,82.0,Germany,65.0,Trinitario,Belize,161232.5
182,Chocolarder,Dominican Republic,2015,80.0,U.K.,50.0,Blend,Dominican Republic,100000.0
183,Chocolate Alchemist-Philly,"Tumbes, ""Zarumilla""",2016,90.0,U.S.A.,50.0,Blend,Peru,112500.0
184,Chocolate Alchemist-Philly,"Philly Blend, 5 plantations",2016,80.0,U.S.A.,50.0,Blend,Other,100000.0
185,Chocolate Con Amor,Dominican Republic,2016,75.0,U.S.A.,60.0,Blend,Dominican Republic,112500.0
186,Chocolate Con Amor,Ocumare,2016,80.0,U.S.A.,60.0,Criollo (Ocumare),Venezuela,120000.0
187,Chocolate Con Amor,Nicaragua,2016,80.0,U.S.A.,55.0,Blend,Nicaragua,110000.0
188,Chocolate Conspiracy,Peru,2014,74.0,U.S.A.,55.0,Blend,Peru,101750.0
189,Chocolate Makers,Tres Hombres,2015,75.0,Amsterdam,65.0,Trinitario,Dominican Republic,147468.75
190,Chocolate Makers,"Peru, Awagum bar",2015,80.0,Amsterdam,75.0,Criollo,Peru,150000.0
191,"Chocolate Tree, The",Carenero Superior,2015,80.0,Scotland,75.0,Trinitario,Venezuela,181500.00000000003
192,"Chocolate Tree, The",Ecuador,2012,82.0,Scotland,50.0,Forastero (Arriba),Ecuador,102500.0
193,"Chocolate Tree, The",Madagascar,2012,72.0,Scotland,65.0,Criollo,Madagascar,117000.0
194,ChocoReko,Patanemo,2015,77.0,Japan,60.0,Criollo,Venezuela,115500.0
195,Chocovic,Xoconusco,2010,71.0,Spain,65.0,Criollo,Mexico,115375.0
196,Chocovic,Sambirano,2010,71.0,Spain,70.0,Trinitario,Madagascar,150342.5
197,Chocovic,Tarakan,2009,75.0,Spain,65.0,Blend,Other,121875.0
198,Chocovic,Ocumare,2008,71.0,Spain,70.0,Criollo,Venezuela,124250.0
199,Chocovic,"Bolivar, Guaranda",2007,71.0,Spain,50.0,Forastero (Arriba),Ecuador,88750.0
200,Chocovic,Guyave,2007,71.0,Spain,50.0,Trinitario,Grenada,107387.50000000003
201,Chocovivo,Tabasco,2015,75.0,U.S.A.,50.0,Trinitario,Mexico,113437.50000000003
202,Choklat,Ocumare,2009,80.0,Canada,50.0,Criollo,Venezuela,100000.0
203,Choklat,Brazilian,2009,80.0,Canada,60.0,Blend,Brazil,120000.0
204,Choocsol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",2016,75.0,Canada,65.0,Blend,Mexico,121875.0
205,Chuao Chocolatier (Pralus),Chuao,2010,77.0,U.S.A.,55.0,Trinitario,Venezuela,128108.75000000003
206,Claudio Corallo,Terreiro Velho P.,2010,73.5,Sao Tome,75.0,Forastero,Sao Tome & Principe,137812.5
207,Claudio Corallo,Terreiro Velho P. w/ sugar crystals,2008,80.0,Sao Tome,60.0,Forastero,Sao Tome & Principe,120000.0
208,Claudio Corallo,Terreiro Velho P.,2008,75.0,Sao Tome,80.0,Forastero,Sao Tome & Principe,150000.0
209,Claudio Corallo,Principe,2008,100.0,Sao Tome,20.0,Forastero,Sao Tome & Principe,50000.0
210,Cloudforest,"Camino Verde P., Balao, Guayas, 2014",2015,73.0,U.S.A.,70.0,Blend,Ecuador,127750.0
211,Coleman & Davis,Sambirano,2015,75.0,U.S.A.,60.0,Trinitario,Madagascar,136125.00000000003
212,Compania de Chocolate (Salgado),Carenero Superior,2008,80.0,Argentina,55.0,Trinitario,Venezuela,133100.00000000003
213,Compania de Chocolate (Salgado),Moxos,2008,72.0,Argentina,65.0,Blend,Bolivia,117000.0
214,Compania de Chocolate (Salgado),Esmeraldas,2008,88.0,Argentina,55.0,Forastero (Nacional),Ecuador,121000.0
215,Condor,Camino Verde,2015,76.0,U.S.A.,70.0,Blend,Ecuador,133000.0
216,Confluence,"Tien Giang, 2015, batch 10-2-16",2016,78.0,U.S.A.,55.0,Trinitario,Vietnam,129772.50000000003
217,Coppeneur,Ghana Puristique,2012,85.0,Germany,70.0,Forastero,Ghana,148750.0
218,Coppeneur,Ecuador Puristique,2012,100.0,Germany,30.0,Blend,Ecuador,75000.0
219,Coppeneur,Uba Budo,2012,72.0,Germany,75.0,Forastero,Sao Tome & Principe,135000.0
220,Coppeneur,Grenada,2010,72.0,Germany,65.0,Trinitario,Grenada,141570.00000000003
221,Coppeneur,"Los Rios, H. Iara",2010,72.0,Germany,50.0,Nacional,Ecuador,90000.0
222,Coppeneur,Trinidad,2010,72.0,Germany,60.0,Trinitario,Trinidad,130680.00000000003
223,Coppeneur,Jamaica,2010,72.0,Germany,65.0,Trinitario,Jamaica,141570.00000000003
224,Coppeneur,Ocumare 61,2010,72.0,Germany,65.0,Criollo (Ocumare 61),Venezuela,117000.0
225,Coppeneur,"Porcelana, Apotequil",2009,72.0,Germany,60.0,Criollo,Peru,108000.0
226,Coppeneur,"Porcelana, Tabasco, Mexico",2008,72.0,Germany,60.0,Criollo,Mexico,108000.0
227,Coppeneur,"Porcelana, Venezuela",2008,72.0,Germany,60.0,Criollo (Porcelana),Venezuela,108000.0
228,Coppeneur,"Sambirano, Menava P.",2007,72.0,Germany,60.0,Trinitario,Madagascar,130680.00000000003
229,Cravve,"Vanuatu, batch 2410",2014,83.0,Australia,55.0,Trinitario,Vanuatu,138091.25000000003
230,Cravve,"Tanzania, batch a1",2012,75.0,Australia,65.0,Forastero,Tanzania,121875.0
231,Cravve,Djual Island,2012,75.0,Australia,70.0,Forastero,Papua New Guinea,131250.0
232,Creo,"""heirloom"", Arriba Nacional",2016,85.0,U.S.A.,65.0,Forastero (Nacional),Ecuador,138125.0
233,Creo,"""heirloom"", Arriba Nacional",2016,73.0,U.S.A.,75.0,Forastero (Nacional),Ecuador,136875.0
234,Dalloway,"Dominican Republic, batch 7",2017,72.0,U.S.A.,55.0,Blend,Dominican Republic,99000.0
235,Danta,Los Ujuxtes,2014,82.0,Guatemala,65.0,Blend,Guatemala,133250.0
236,Danta,Chuao,2012,75.0,Guatemala,60.0,Trinitario,Venezuela,136125.00000000003
237,Danta,Las Acacias E.,2009,75.0,Guatemala,60.0,Criollo,Guatemala,112500.0
238,DAR,"Venezuela, batch 122",2016,72.0,U.S.A.,55.0,Blend,Venezuela,99000.0
239,DAR,Vietnam,2016,72.0,U.S.A.,60.0,Trinitario,Vietnam,130680.00000000003
240,Dark Forest,Bolivia,2016,75.0,U.S.A.,65.0,Blend,Bolivia,121875.0
241,De Mendes,"Nativo, Varzea",2015,72.0,Brazil,70.0,Blend,Brazil,126000.0
242,Dean and Deluca (Belcolade),Ecuador,2007,71.0,U.S.A.,60.0,Blend,Ecuador,106500.0
243,Desbarres,"Kilombero, batch 41",2016,72.0,Canada,50.0,Blend,Tanzania,90000.0
244,DeVries,Bolivian,2008,80.0,U.S.A.,55.0,Blend,Bolivia,110000.0
245,DeVries,Costa Rica,2007,77.0,U.S.A.,70.0,Trinitario,Costa Rica,163047.5
246,DeVries,Dominican Republic,2007,77.0,U.S.A.,70.0,Blend,Dominican Republic,134750.0
247,Dick Taylor,Tien Giang,2016,78.0,U.S.A.,70.0,Trinitario,Vietnam,165165.0
248,Dick Taylor,Elvesia,2014,74.0,U.S.A.,70.0,Blend,Dominican Republic,129500.0
249,Dick Taylor,Camino Verde,2013,76.0,U.S.A.,70.0,Blend,Ecuador,133000.0
250,Dick Taylor,Bolivia,2012,75.0,U.S.A.,55.0,Blend,Bolivia,103125.0
251,Dick Taylor,Belize,2012,72.0,U.S.A.,55.0,Trinitario,Belize,119790.00000000003
252,Dick Taylor,Sambirano,2011,80.0,U.S.A.,55.0,Trinitario,Madagascar,133100.00000000003
253,Dick Taylor,Sambirano,2011,72.0,U.S.A.,60.0,Trinitario,Madagascar,130680.00000000003
254,Dick Taylor,Mantuano,2011,75.0,U.S.A.,55.0,Criollo,Venezuela,103125.0
255,Dick Taylor,La Red,2011,74.0,U.S.A.,60.0,Blend,Dominican Republic,111000.0
256,Doble & Bignall,Puerto Cabello,2015,85.0,U.K.,60.0,Blend,Venezuela,127500.0
257,Doble & Bignall,"Panama, Raven",2014,72.0,U.K.,65.0,Blend,Panama,117000.0
258,Doble & Bignall,"Puerto Cabello, Mantuano",2014,72.0,U.K.,65.0,Trinitario,Venezuela,141570.00000000003
259,Doble & Bignall,Johe,2014,72.0,U.K.,70.0,"Criollo, Trinitario",Nicaragua,126000.0
260,Dolfin (Belcolade),Africa,2008,88.0,Belgium,60.0,Forastero,West Africa,132000.0
261,Domori,"IL100, H. San Jose",2013,100.0,Italy,60.0,Criollo,Venezuela,150000.0
262,Domori,Blend No. 1,2008,78.0,Italy,70.0,Blend,Other,136500.0
263,Domori,"Ocumare 61, Puertomar",2007,75.0,Italy,65.0,Criollo (Ocumare 61),Venezuela,121875.0
